dataset,region,scope,mean_mse,mean_mae,is_region_best_mse,is_region_best_mae,validation_series_rows
Weather,1-48,1,0.3416281600253183,0.21140762572176533,False,False,95571
Weather,1-48,48,0.3429715610272208,0.21099194809017324,False,False,95571
Weather,1-48,144,0.3398323604222344,0.20959131562345865,False,True,95571
Weather,1-48,360,0.33674370981675217,0.20996482994465732,True,False,95571
Weather,1-48,720,0.337156006827498,0.21152605039338404,False,False,95571
Weather,49-96,1,0.4541468382542103,0.2979516928273023,False,False,95571
Weather,49-96,48,0.4535647347945763,0.29727098654100265,False,False,95571
Weather,49-96,144,0.4534419885659398,0.2970338534086099,False,False,95571
Weather,49-96,360,0.4502137890952009,0.29560709142210667,True,True,95571
Weather,49-96,720,0.4507324853740093,0.2965539153124791,False,False,95571
Weather,97-144,1,0.48114308369963144,0.31724314730383846,False,False,95571
Weather,97-144,48,0.48114214690084284,0.31739352399561604,False,False,95571
Weather,97-144,144,0.482089654324522,0.31855364508820033,False,False,95571
Weather,97-144,360,0.48029806777199274,0.3155238175240429,True,True,95571
Weather,97-144,720,0.4821765267796273,0.3168966430631459,False,False,95571
Weather,145-192,1,0.523959163187878,0.3528943814512762,False,False,95571
Weather,145-192,48,0.5230547013291923,0.35194060005497063,False,False,95571
Weather,145-192,144,0.5287178108660541,0.355953599626239,False,False,95571
Weather,145-192,360,0.5208814956003998,0.34951821726598314,True,True,95571
Weather,145-192,720,0.5239408349286746,0.3515360194315699,False,False,95571
Weather,193-288,1,0.5790185359846218,0.3930963418247886,False,False,95571
Weather,193-288,48,0.5800442852501032,0.39363832574922847,False,False,95571
Weather,193-288,144,0.580517116375928,0.3935617437283736,False,False,95571
Weather,193-288,360,0.5736975192248492,0.3879414799617751,True,True,95571
Weather,193-288,720,0.5770552633525654,0.38935936140181127,False,False,95571
Weather,289-336,1,0.6231091855733493,0.41744704856878284,False,False,95571
Weather,289-336,48,0.6252160208037683,0.41830506047272653,False,False,95571
Weather,289-336,144,0.6246668870960557,0.41771637076255874,False,False,95571
Weather,289-336,360,0.6139624043302333,0.4106694302761895,True,True,95571
Weather,289-336,720,0.6156060626515111,0.41131795533473536,False,False,95571
Weather,337-512,1,0.6574306180243097,0.4335340656322412,False,False,95571
Weather,337-512,48,0.6582921372221289,0.4334658891199233,False,False,95571
Weather,337-512,144,0.6568348923236439,0.4331121312112584,False,False,95571
Weather,337-512,360,0.6552672708599702,0.43190423317294924,False,False,95571
Weather,337-512,720,0.6518873361448013,0.4310855981126463,True,True,95571
Weather,513-720,1,0.6756645680853909,0.44248389690955076,False,False,95571
Weather,513-720,48,0.6764723742582279,0.4424300519954066,False,False,95571
Weather,513-720,144,0.6744619490539311,0.4412584922779353,False,False,95571
Weather,513-720,360,0.6732123414065109,0.440405818125105,False,False,95571
Weather,513-720,720,0.6679257801335056,0.4376284663142044,True,True,95571
ETTm1,1-48,1,0.30524328544536977,0.3622832960102323,False,False,75607
ETTm1,1-48,48,0.3037877274932961,0.3620024425630907,False,False,75607
ETTm1,1-48,144,0.30105694611441314,0.36021086201404323,False,False,75607
ETTm1,1-48,360,0.3000817491612068,0.35756825524729496,True,True,75607
ETTm1,1-48,720,0.30326849034516545,0.35783473281885886,False,False,75607
ETTm1,49-96,1,0.45054746834697074,0.4460064762271559,False,False,75607
ETTm1,49-96,48,0.44702509128860857,0.4445183080786087,True,True,75607
ETTm1,49-96,144,0.4536435417405929,0.44887704981114607,False,False,75607
ETTm1,49-96,360,0.45513317923814073,0.44722302168785977,False,False,75607
ETTm1,49-96,720,0.459159778699258,0.44846850856327125,False,False,75607
ETTm1,97-144,1,0.5827910237470922,0.5094708026573254,False,False,75607
ETTm1,97-144,48,0.5752258263646076,0.5060099537945174,True,True,75607
ETTm1,97-144,144,0.585335572681089,0.5124561895752109,False,False,75607
ETTm1,97-144,360,0.5808144357715411,0.5083165306309265,False,False,75607
ETTm1,97-144,720,0.583457413786803,0.5081871214062973,False,False,75607
ETTm1,145-192,1,0.6659268825910265,0.5399984749190263,False,False,75607
ETTm1,145-192,48,0.6623731578158483,0.5384309595644372,True,True,75607
ETTm1,145-192,144,0.6725557940542962,0.5439622058790614,False,False,75607
ETTm1,145-192,360,0.6651534537207988,0.5406740766157526,False,False,75607
ETTm1,145-192,720,0.6720876450383058,0.5427572109113966,False,False,75607
ETTm1,193-288,1,0.8312093169577923,0.6059607700051877,False,False,75607
ETTm1,193-288,48,0.8268841335524809,0.6028656140595084,False,False,75607
ETTm1,193-288,144,0.8249820542713916,0.6023197487204676,False,False,75607
ETTm1,193-288,360,0.8153261839843922,0.5977792360188816,True,True,75607
ETTm1,193-288,720,0.8208557986047313,0.5989905941471104,False,False,75607
ETTm1,289-336,1,0.9624666122107755,0.650145745970698,False,False,75607
ETTm1,289-336,48,0.9530490255482875,0.6449839930708383,False,False,75607
ETTm1,289-336,144,0.961526083774394,0.648138997272377,False,False,75607
ETTm1,289-336,360,0.9399211792705292,0.6416438466489397,True,True,75607
ETTm1,289-336,720,0.9464846679154261,0.6429592491610131,False,False,75607
ETTm1,337-512,1,1.1252569323398047,0.6970877092743215,False,False,75607
ETTm1,337-512,48,1.1182561157125692,0.6918501718935772,False,False,75607
ETTm1,337-512,144,1.1209742772376152,0.694067369578853,False,False,75607
ETTm1,337-512,360,1.1132116568622064,0.6931003504327604,False,False,75607
ETTm1,337-512,720,1.0955933648798946,0.6884268559857423,True,True,75607
ETTm1,513-720,1,1.334024800914451,0.7687156873933262,False,False,75607
ETTm1,513-720,48,1.342456398596396,0.768644007719393,False,False,75607
ETTm1,513-720,144,1.3426717355973272,0.7698615968316272,False,False,75607
ETTm1,513-720,360,1.3368679875598635,0.7683039003705765,False,False,75607
ETTm1,513-720,720,1.3167163630050502,0.762050199687149,True,True,75607
ETTh1,1-48,1,0.695068718605332,0.5844639913001237,False,False,15127
ETTh1,1-48,48,0.683702968883381,0.5791460205990765,False,False,15127
ETTh1,1-48,144,0.6505564120677867,0.5605239037784123,False,False,15127
ETTh1,1-48,360,0.6269703652370058,0.543888498280635,True,True,15127
ETTh1,1-48,720,0.6464328394355041,0.5517856188903066,False,False,15127
ETTh1,49-96,1,1.0066524057579445,0.6943991280160783,False,False,15127
ETTh1,49-96,48,0.9998625551561651,0.6920092269525089,False,False,15127
ETTh1,49-96,144,0.9978285915895345,0.6892972622144803,False,False,15127
ETTh1,49-96,360,0.9629751540841873,0.6747131262526459,False,False,15127
ETTh1,49-96,720,0.9609837403227637,0.6725897549865755,True,True,15127
ETTh1,97-144,1,1.2194847335788739,0.7578826260151406,False,False,15127
ETTh1,97-144,48,1.2120882831101383,0.7553312272757416,False,False,15127
ETTh1,97-144,144,1.2402007985379764,0.7679212490868614,False,False,15127
ETTh1,97-144,360,1.2223996462025462,0.7593218227941376,False,False,15127
ETTh1,97-144,720,1.1952608667271325,0.7464758250770009,True,True,15127
ETTh1,145-192,1,1.414233730608771,0.8237704050278304,False,False,15127
ETTh1,145-192,48,1.4119493517630162,0.8231049022946558,False,False,15127
ETTh1,145-192,144,1.4267008877679785,0.8296354793240186,False,False,15127
ETTh1,145-192,360,1.4126748269827845,0.8219631651856378,False,False,15127
ETTh1,145-192,720,1.3839166078633032,0.8115146772145098,True,True,15127
ETTh1,193-288,1,1.5897756917238997,0.8892450934179817,False,False,15127
ETTh1,193-288,48,1.5881806897972728,0.8885740096793303,False,False,15127
ETTh1,193-288,144,1.5701537864733275,0.8801906478888077,False,False,15127
ETTh1,193-288,360,1.5511984630619182,0.871000197343516,False,False,15127
ETTh1,193-288,720,1.5127370939919111,0.8571243064649565,True,True,15127
ETTh1,289-336,1,1.6214390591481656,0.8953048333839895,False,False,15127
ETTh1,289-336,48,1.6197092396480142,0.8954053791947262,False,False,15127
ETTh1,289-336,144,1.6007132569851639,0.8876651532402781,False,False,15127
ETTh1,289-336,360,1.620790527624107,0.8936794823179788,False,False,15127
ETTh1,289-336,720,1.5928457651036803,0.8834850307574447,True,True,15127
ETTh1,337-512,1,1.5842050377673795,0.8886382007787813,False,False,15127
ETTh1,337-512,48,1.5812504131768306,0.8880150817734098,False,False,15127
ETTh1,337-512,144,1.588219672241144,0.8882924439319657,False,False,15127
ETTh1,337-512,360,1.5716623280768969,0.8852759692533487,True,True,15127
ETTh1,337-512,720,1.6490677373636833,0.913018622715451,False,False,15127
ETTh1,513-720,1,1.632334005405053,0.9175238887015185,False,False,15127
ETTh1,513-720,48,1.6361000182801195,0.9192646009339103,False,False,15127
ETTh1,513-720,144,1.6322610350454378,0.9173513992753025,True,True,15127
ETTh1,513-720,360,1.6387650967762342,0.920515442379974,False,False,15127
ETTh1,513-720,720,1.7046023117070643,0.9380462996564634,False,False,15127
ETTh2,1-48,1,0.18106672543100644,0.3013837532547703,False,False,15127
ETTh2,1-48,48,0.1797593212965839,0.30033991229863555,False,False,15127
ETTh2,1-48,144,0.17624455139181566,0.29706747527719096,False,True,15127
ETTh2,1-48,360,0.17504957380727115,0.29721165135248667,True,False,15127
ETTh2,1-48,720,0.18000428016647096,0.299195501420194,False,False,15127
ETTh2,49-96,1,0.30235654485757085,0.3872917947195184,False,False,15127
ETTh2,49-96,48,0.30152007912759937,0.3867959149628572,False,False,15127
ETTh2,49-96,144,0.3005062255442833,0.3871932503444516,False,False,15127
ETTh2,49-96,360,0.29604911546086893,0.3849286009124915,True,False,15127
ETTh2,49-96,720,0.29874879873348387,0.3844841358955518,False,True,15127
ETTh2,97-144,1,0.3780195663399509,0.4281367533893494,False,False,15127
ETTh2,97-144,48,0.3758976278376263,0.42787508758668696,False,False,15127
ETTh2,97-144,144,0.37729373980932474,0.4296543683644689,False,False,15127
ETTh2,97-144,360,0.37335832148611875,0.4278941507393794,True,False,15127
ETTh2,97-144,720,0.37346632383056416,0.4248850775791852,False,True,15127
ETTh2,145-192,1,0.43737550379234713,0.46043673719502276,False,False,15127
ETTh2,145-192,48,0.43671720781829426,0.4601499094139141,False,False,15127
ETTh2,145-192,144,0.4386626494461948,0.46196529807830355,False,False,15127
ETTh2,145-192,360,0.42857026423945077,0.45777852972289096,True,False,15127
ETTh2,145-192,720,0.4301755755283498,0.4558383767311632,False,True,15127
ETTh2,193-288,1,0.5368552289307904,0.5140201783613865,False,False,15127
ETTh2,193-288,48,0.5357969452349121,0.5133992991282568,False,False,15127
ETTh2,193-288,144,0.5304607418774273,0.5110988433816294,False,False,15127
ETTh2,193-288,360,0.5194862143138962,0.505927084701522,True,True,15127
ETTh2,193-288,720,0.5225097359959053,0.5060132576840138,False,False,15127
ETTh2,289-336,1,0.6411327230983251,0.5697319319891234,False,False,15127
ETTh2,289-336,48,0.643679385849072,0.5708392436523219,False,False,15127
ETTh2,289-336,144,0.6385975048308328,0.5687550260305085,False,False,15127
ETTh2,289-336,360,0.6206151245103341,0.5616912979430922,True,True,15127
ETTh2,289-336,720,0.6234428962709272,0.5627005900036357,False,False,15127
ETTh2,337-512,1,0.7451890956396743,0.6173427742337344,False,False,15127
